group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,99,-117.8461399,33.86863136,Anaheim,City,336265,49.84000015,ANAHEIM
1,100,-117.8455601,33.8685627,Anaheim,City,336265,49.84000015,ANAHEIM
1,101,-117.8453789,33.86805916,Anaheim,City,336265,49.84000015,ANAHEIM
1,102,-117.8370991,33.86802101,Anaheim,City,336265,49.84000015,ANAHEIM
1,103,-117.8370399,33.86417961,Anaheim,City,336265,49.84000015,ANAHEIM
1,104,-117.8312702,33.86422157,Anaheim,City,336265,49.84000015,ANAHEIM
1,105,-117.8312683,33.86212349,Anaheim,City,336265,49.84000015,ANAHEIM
1,106,-117.8283596,33.86217308,Anaheim,City,336265,49.84000015,ANAHEIM
1,107,-117.8283348,33.86102867,Anaheim,City,336265,49.84000015,ANAHEIM
1,108,-117.8235092,33.86089134,Anaheim,City,336265,49.84000015,ANAHEIM
1,109,-117.8235207,33.86194038,Anaheim,City,336265,49.84000015,ANAHEIM
1,110,-117.8184795,33.86196709,Anaheim,City,336265,49.84000015,ANAHEIM
1,111,-117.8186684,33.86715889,Anaheim,City,336265,49.84000015,ANAHEIM
1,112,-117.8184319,33.86831093,Anaheim,City,336265,49.84000015,ANAHEIM
1,113,-117.8182602,33.86865425,Anaheim,City,336265,49.84000015,ANAHEIM
1,114,-117.8177109,33.86968422,Anaheim,City,336265,49.84000015,ANAHEIM
1,115,-117.8174763,33.87013435,Anaheim,City,336265,49.84000015,ANAHEIM
1,116,-117.8145103,33.87090874,Anaheim,City,336265,49.84000015,ANAHEIM
1,117,-117.813818,33.87075996,Anaheim,City,336265,49.84000015,ANAHEIM
1,118,-117.8134537,33.87026405,Anaheim,City,336265,49.84000015,ANAHEIM
1,119,-117.8058739,33.87191963,Anaheim,City,336265,49.84000015,ANAHEIM
1,120,-117.804533,33.87329674,Anaheim,City,336265,49.84000015,ANAHEIM
1,121,-117.8047104,33.87339973,Anaheim,City,336265,49.84000015,ANAHEIM
1,122,-117.8042088,33.8741703,Anaheim,City,336265,49.84000015,ANAHEIM
1,123,-117.8034592,33.87368965,Anaheim,City,336265,49.84000015,ANAHEIM
1,124,-117.8029404,33.87405968,Anaheim,City,336265,49.84000015,ANAHEIM
1,125,-117.7982998,33.87114143,Anaheim,City,336265,49.84000015,ANAHEIM
1,126,-117.7982388,33.87038994,Anaheim,City,336265,49.84000015,ANAHEIM
1,127,-117.7950897,33.86849403,Anaheim,City,336265,49.84000015,ANAHEIM
1,128,-117.7953892,33.8680439,Anaheim,City,336265,49.84000015,ANAHEIM
1,129,-117.7953262,33.86761284,Anaheim,City,336265,49.84000015,ANAHEIM
1,130,-117.7942848,33.86627388,Anaheim,City,336265,49.84000015,ANAHEIM
1,131,-117.7931404,33.86570931,Anaheim,City,336265,49.84000015,ANAHEIM
1,132,-117.791338,33.86580849,Anaheim,City,336265,49.84000015,ANAHEIM
1,133,-117.7910843,33.86585808,Anaheim,City,336265,49.84000015,ANAHEIM
1,134,-117.7905998,33.86475944,Anaheim,City,336265,49.84000015,ANAHEIM
1,135,-117.7903709,33.86270332,Anaheim,City,336265,49.84000015,ANAHEIM
1,136,-117.7899456,33.86261559,Anaheim,City,336265,49.84000015,ANAHEIM
1,137,-117.7899284,33.86216545,Anaheim,City,336265,49.84000015,ANAHEIM
